Symbol,Description
BFK,"BlackRock Municipal Income Trust is a closed ended fixed income mutual fund launched by BlackRock, Inc. It is managed by BlackRock Advisors, LLC. The fund invests in fixed income markets. It invests primarily in investment grade municipal bonds that are exempt from regular federal income tax. BlackRock Municipal Income Trust was formed on July 31, 2001 and is domiciled in United States."
BFS,"Saul Centers, Inc. is a self-managed, self-administered equity REIT headquartered in Bethesda, Maryland, which currently operates and manages a real estate portfolio of 60 properties which includes (a) 50 community and neighborhood shopping centers and seven mixed-use properties with approximately 9.8 million square feet of leasable area and (b) three land and development properties. Approximately 85% of the Saul Centers' property operating income is generated by properties in the metropolitan Washington, DC/Baltimore area."
BFST,"Business First Bancshares, Inc. operates as the bank holding company for b1BANK that provides various banking products and services. It offers various deposit products and services, including a range of checking, demand, money market, time, and savings accounts, as well as certificates of deposit; and remote deposit capture and direct deposit services. The company also provides commercial and industrial loans, including commercial lines of credit, working capital loans, term loans, equipment financing, asset acquisition, expansion and development loans, borrowing base loans, letters of credit, and other loan products; construction and development loans; commercial real estate loans; residential real estate loans comprising first and second lien 1-4 family mortgage loans, and home equity lines of credit; and consumer loans, including secured and unsecured installment and term loans. In addition, it offers wealth management products, including mutual funds, annuities, individual retirement accounts, and other financial products. Further, the company provides a range of other financial services comprising drive-through banking facilities, automated teller machines, debit and credit cards, and employee and payroll benefits solutions; and night depository, personalized checks, treasury and cash management, merchant, automated clearing house, electronic funds transfer, domestic and foreign wire transfer, traveler's checks, vault, loan and deposit sweep accounts, lock-box, receivables factoring, correspondent banking, online and mobile banking, e-statements, and bank-by-mail services. The company operates approximately 42 full-service banking centers located in the State of Louisiana and in the Dallas/Fort Worth metroplex. Business First Bancshares, Inc. was incorporated in 2006 and is headquartered in Baton Rouge, Louisiana."
BFZ,"BlackRock California Municipal Income Trust is a closed ended fixed income mutual fund launched by BlackRock, Inc. It is managed by BlackRock Advisors, LLC. The fund invests in fixed income markets. It invests primarily in investment grade municipal bonds that are exempt from regular federal and California income taxes. BlackRock California Municipal Income Trust was formed on July 31, 2001 and is domiciled in United States."
BG,"Bunge Limited operates as an agribusiness and food company worldwide. It operates through five segments: Agribusiness, Edible Oil Products, Milling Products, Fertilizer, and Sugar and Bioenergy. The Agribusiness segment purchases, stores, transports, processes, and sells agricultural commodities and commodity products, including oilseeds primarily soybeans, rapeseed, canola, and sunflower seeds, as well as grains primarily wheat and corn; and vegetable oils and protein meals. It provides its products for animal feed manufacturers, livestock producers, wheat and corn millers, and other oilseed processors, as well as third-party edible oil processing companies; and for industrial and biodiesel production applications. The Edible Oil Products segment provides packaged and bulk oils and fats, including cooking oils, shortenings, margarines, mayonnaise, and others for baked goods companies, snack food producers, confectioners, restaurant chains, foodservice operators, infant nutrition companies, and other food manufacturers, as well as grocery chains, wholesalers, distributors, and other retailers. The Milling Products segment offers wheat flours and bakery mixes; corn milling products that include dry-milled corn meals and flours, wet-milled masa and flours, and flaking and brewer's grits, as well as soy-fortified corn meal, corn-soy blends, and other products; and whole grain and fiber ingredients. The Fertilizer segment offers nitrogen, phosphate, and potassium fertilizers; and SSP, ammonia, ammonium thiosulfate, monoammonium phosphate, diammonium phosphate, triple superphosphate, urea, urea-ammonium nitrate, ammonium sulfate, and potassium chloride. The Sugar and Bioenergy segment produces sugar and ethanol; and generates electricity from burning sugarcane bagasse. The company was founded in 1818 and is headquartered in St. Louis, Missouri."
BGCP,"BGC Partners, Inc. operates as a brokerage and financial technology company in the United States, Canada, Europe, the United Kingdom, Latin America, Asia, Africa, the Middle East, and internationally. It offers various brokerage products, such as fixed income, such as government bonds, corporate bonds, and other debt instruments, as well as related interest rate derivatives and credit derivatives; and fixed income, equity derivatives and cash equities, energy and commodities, shipping, insurance, and futures and options. The company also provides other services that include trade execution, brokerage, clearing, trade compression, post-trade, information, and other back office services to financial and non-financial institutions. In addition, it offers electronic brokerage, financial technology solutions, market data, post-trade services, and analytics related to financial instrument and markets under the Fenics, BGC Trader, CreditMatch, Fenics Market Data, BGC Market Data, kACE2, EMBonds, Capitalab, Swaptioniser, CBID, and Lucera brand names. Further, the company provides screen-based market solutions, which enable its clients to develop a marketplace, trade with their customers, issue debt, trade odd lots, access program trading interfaces, and access its network and intellectual property; option pricing and analysis tools; and software and technology infrastructure for the transactional and technology related elements. It primarily serves banks, broker-dealers, investment banks, trading firms, hedge funds, governments, and corporations, as well as investment firms. BGC Partners, Inc. was founded in 1972 and is headquartered in New York, New York."
BGFV,"Big 5 Sporting Goods Corporation operates as a sporting goods retailer in the western United States. The company's products include athletic shoes, apparel, and accessories, as well as a selection of outdoor and athletic equipment for team sports, fitness, camping, hunting, fishing, tennis, golf, and winter and summer recreation, as well as home recreation. It also provides private label items, such as shoes, apparel, camping equipment, fishing supplies, and snow sport equipment. The company sells private label merchandise under its own trademarks comprising Golden Bear, Harsh, Pacifica, and Rugged Exposure. As of January 3, 2021, it operated 430 stores. The company also operates an e-commerce platform under the Big 5 Sporting Goods name. Big 5 Sporting Goods Corporation was founded in 1955 and is headquartered in El Segundo, California."
BGH,"Babson Capital Global Short Duration High Yield Fund is a closed ended fixed income mutual fund launched and managed by Barings LLC. The fund is co-managed by Babson Capital Global Advisors Limited. It invests in fixed income markets across the globe. The fund primarily invests in global high-yield bonds, loans, and other income-producing instruments that are, at the time of purchase, rated below Baa3 by Moody's Investors Service, Inc. or below BBB- by Standard & Poor's Rating Services. It seeks to invest in securities with a weighted average portfolio duration of three years or less. The fund employs bottom-up fundamental analysis to create its portfolio. It benchmarks the performance of its portfolio against the Bank of America/Merrill Lynch Global Non-Financial High Yield Constrained Index. The fund was formerly known as Babson Capital Global Short Duration High Yield Fund. Babson Capital Global Short Duration High Yield Fund was formed on October 25, 2012 and is domiciled in the United States."
BGIO,"BlackRock 2022 Global Income Opportunity Trust is a closed ended fixed income launched by BlackRock, Inc. The fund is co-managed by BlackRock Advisors, LLC, BlackRock International Limited, and BlackRock (Singapore) Limited. It invests primarily in fixed income markets across the globe. The fund benchmarks the performance of its portfolio against the Bloomberg Barclays 1-3 Month U.S. Treasury Bill Index. BlackRock 2022 Global Income Opportunity Trust was formed on February 23, 2017 and is domiciled in the United States."
BGLD,"The investment seeks to provide investors with returns (before fees, expenses and taxes) that match those of the SPDRÂ® Gold Trust.
 Under normal market conditions, the fund will invest substantially all of its assets in U.S. Treasury securities, cash and cash equivalents, and in the shares of a wholly-owned subsidiary (the ""Subsidiary"") that holds FLEX Options that reference the price performance of the SPDRÂ® Gold Trust. FLEX Options are customized equity or index option contracts that trade on an exchange, but provide investors with the ability to customize key contract terms like exercise prices, styles and expiration dates. The fund is non-diversified."
BGR,"BlackRock Energy and Resources Trust is a closed-ended equity mutual fund launched by BlackRock, Inc. The fund is co-managed by BlackRock Advisors, LLC and BlackRock International Limited. It invests in public equity markets across the globe, with an emphasis on the United States. The fund seeks to invest in stocks of companies operating in the energy and natural resources sectors. It invests in stocks of companies across all market capitalizations. The fund also invests through equity derivatives, with an emphasis on option writing. It was formerly known as BlackRock Global Energy and Resources Trust. BlackRock Energy and Resources Trust was formed on December 23, 2004 and is domiciled in the United States."
BGS,"B&G Foods, Inc. manufactures, sells, and distributes a portfolio of shelf-stable and frozen foods, and household products in the United States, Canada, and Puerto Rico. The company's products include frozen and canned vegetables, oatmeal and other hot cereals, fruit spreads, canned meats and beans, bagel chips, spices, seasonings, hot sauces, wine vinegars, maple syrups, molasses, salad dressings, pizza crusts, Mexican-style sauces, dry soups, taco shells and kits, salsas, pickles, peppers, tomato-based products, baking powder and soda, corn starch, cookies and crackers, nut clusters, and other specialty products. It markets its products under various brands, including Ac'cent, B&G, B&M, Back to Nature, Baker's Joy, Bear Creek Country Kitchens, Brer Rabbit, Canoleo, Cary's, Clabber Girl, Cream of Rice, Cream of Wheat, Crisco, Dash, Davis, Devonsheer, Don Pepino, Durkee, Emeril's, Farmwise, Grandma's Molasses, Green Giant, JJ Flats, Joan of Arc, Las Palmas, Le Sueur, MacDonald's, Mama Mary's, Maple Grove Farms of Vermont, McCann's, Molly McButter, New York Flatbreads, New York Style, Old London, Ortega, Polaner, Red Devil, Regina, Rumford, Sa-sÃ³n, Sclafani, SnackWell's, Spice Islands, Spring Tree, Sugar Twin, Tone's, Trappey's, TrueNorth, Underwood, Vermont Maid, Victoria, and Weber and Wright's. The company also sells, markets, and distributes household products under the Static Guard brand. It sells and distributes its products directly, as well as through a network of independent brokers and distributors to supermarket chains, food service outlets, mass merchants, warehouse clubs, non-food outlets, and specialty distributors. The company was formerly known as B&G Foods Holdings Corp. and changed its name to B&G Foods, Inc. in October 2004. B&G Foods, Inc. was founded in 1822 and is headquartered in Parsippany, New Jersey."
BGSF,"BGSF Inc. provides workforce solutions and placement services in the United States. It operates through three segments: Real Estate, Professional, and Light Industrial. The Real Estate segment provides office and maintenance field talent to various apartment communities and commercial buildings. The Professional segment offers skilled IT professionals with expertise in SAP, Workday, Peoplesoft, Hyperion, Oracle, One Stream, cyber, project management, and other IT workforce solutions, as well as finance, accounting, legal, human resource, and related support personnel. Its client partners include Fortune 500 companies, and medium and small companies, as well as consulting firms that engage in systems integration projects. The Light Industrial segment offers skilled and unskilled field talent to manufacturing, distribution, logistics, and call center client partners. It has 11 branch offices and 13 on-site locations operating in 7 states. The company was formerly known as BG Staffing, Inc. and changed its name to BGSF Inc. in February 2021. BGSF Inc. was founded in 2007 and is headquartered in Plano, Texas."
BGT,"BlackRock Floating Rate Income Trust is a close ended fixed income mutual fund launched by BlackRoack Inc. The fund is co-managed by BlackRock Advisors, LLC and BlackRock Financial Management, Inc. It invests in the fixed income markets across the globe while focusing on the United States. The fund invests in bonds of companies operating across diversified sectors. It invests in corporate bonds with average effective duration of its portfolio will be no more than 1.5 years. The fund was formerly known as BlackRock Global Floating Rate Income Trust. BlackRock Floating Rate Income Trust was formed on August 30, 2004 and is domiciled in the United States."
BGY,"BlackRock Enhanced International Dividend Trust is a closed ended equity mutual fund launched by BlackRock, Inc. The fund is co-managed by BlackRock Advisors, LLC and BlackRock International Limited. It invests in public equity markets across the globe excluding the United States. The fund seeks to invest in stocks of companies operating across diversified sectors. It invests in stocks of companies across all market capitalizations. The fund also invests through the use of derivatives, with an emphasis on options writing. It benchmarks the performance of its portfolio against the S&P Global ex-U.S. Broad Market Index. The fund was formerly known as BlackRock International Growth and Income Trust. BlackRock Enhanced International Dividend Trust was formed on May 30, 2007 and is domiciled in the United States."
BHE,"Benchmark Electronics, Inc., together with its subsidiaries, provides product design, engineering services, technology solutions, and advanced manufacturing services in the Americas, Asia, and Europe. The company offers engineering services and technology solutions, including new product design, prototype, testing, and related engineering services; and custom testing, and automation equipment design and build services. It also provides electronics manufacturing and testing services, such as printed circuit board assembly and test solutions, assembly of subsystems, circuitry and functionality testing of printed assemblies, environmental and stress testing, and component reliability testing; component engineering services; manufacturing defect analysis, in-circuit testing, functional testing, life cycle testing services, and environmental stress tests of assemblies of boards or systems; and failure analysis. In addition, the company offers precision machining and electromechanical assembly services; and subsystem and system integration services, including assembly, configuration, and testing services for various industries. Further, it provides value-added support systems; supply chain management solutions; direct order fulfillment; and aftermarket non-warranty services, including repair, replacement, refurbishment, remanufacturing, exchange, systems upgrade, and spare parts manufacturing throughout a product's life cycle. The company serves original equipment manufacturers in the aerospace and defense, medical technologies, complex industrials, test and instrumentation, telecommunications, and high-end computing industries. It sells its products primarily through direct sales force. The company was formerly known as Electronics, Inc. Benchmark Electronics, Inc. was founded in 1979 and is headquartered in Tempe, Arizona."
BHF,"Brighthouse Financial, Inc. provides annuity and life insurance products in the United States. It operates through three segments: Annuities, Life, and Run-off. The Annuities segment offers variable, fixed, index-linked, and income annuities for contract holders' needs for protected wealth accumulation on a tax-deferred basis, wealth transfer, and income security. The Life segment provides term, universal, whole, and variable life policies for policyholders' needs for financial security and protected wealth transfer. The Run-off segment manages structured settlements, pension risk transfer contracts, certain company-owned life insurance policies, funding agreements, and universal life with secondary guarantees. The company was founded in 2016 and is headquartered in Charlotte, North Carolina."
BHR,Braemar Hotels & Resorts is a real estate investment trust (REIT) focused on investing in luxury hotels and resorts.
BHTG,"BioHiTech Global, Inc., through its subsidiaries, provides technological, biological, and mechanical engineering solutions of organic and municipal waste worldwide. Its suite of technologies includes on-site biological processing equipment for food waste, patented processing facilities for the conversion of municipal solid waste into renewable fuel, and proprietary real-time data analytics tools to reduce food waste generation. The company also markets Revolution Series Digesters, an aerobic digestion technology solution for the disposal of food waste at the point of generation; and High Efficiency Biological Treatment Resource Recovery Technology to process waste at the municipal or enterprise level. In addition, it offers BioHiTech Cloud and Cirrus mobile applications for digester customers. Its principal customers include producers of food waste. The company serves healthcare, grocery, prison, retail food service, education, and hospitality sectors, as well as food distributors, convention centers, hotels, restaurants, stadiums, municipalities and academic institutions, and stadiums. BioHiTech Global, Inc. is headquartered in Chestnut Ridge, New York."
BHV,"Blackrock Virginia Municipal Bond Trust is a closed-ended fixed income mutual fund launched by BlackRock, Inc. It is managed by BlackRock Advisors, LLC. The fund invests in fixed income markets of United States. It primarily invests in the investment grade municipal bonds exempt from federal income taxes and Virginia personal income taxes. Blackrock Virginia Municipal Bond Trust was formed on April 25, 2002 and is domiciled in United States."
BHVN,"Biohaven Pharmaceutical Holding Company Ltd., a biopharmaceutical company, develops products candidates targeting neurological diseases and rare disorders in the United States. It offers NURTEC ODT (rimegepant) for the acute treatment of migraine, as well as id developing Rimegepant for preventive treatment of migraine and other non-migraine indications; Zavegepant that is in phase III clinical trials for acute and preventive treatment of migraine, as well as respiratory complications and non-migraine studies; and BHV-3100 for non-migraine indications. The company also offers Troriluzole, which is in phase III clinical trials for spinocerebellar ataxia and obsessive compulsive disorders, as well as Alzheimer diseases; BHV-0223, a product for amyotrophic lateral sclerosis; BHV-5000/5500 that is in phase I clinical trial for neuropsychiatric indications; and Verdiperstat, a product that is in phase III trial for multiple system atrophy and amyotrophic lateral sclerosis. Biohaven Pharmaceutical Holding Company Ltd. has a collaboration agreement with Cove to facilitate telemedicine evaluation for migraine sufferers. The company was incorporated in 2013 and is headquartered in New Haven, Connecticut."
BIG,"Big Lots, Inc., through its subsidiaries, operates as a retailer in the United States. The company offers products under various merchandising categories, such as furniture category that includes upholstery, mattress, case goods, and ready-to-assemble departments; seasonal category, which comprises patio furniture, gazebos, Christmas trim, and other holiday departments; soft home category that consists of fashion and utility bedding, bath, window, decorative textile, home organization, area rugs, home dÃ©cor, and frames departments; and food category that includes beverage and grocery, candy and snacks, and specialty foods departments. It also provides merchandise under the consumables category, which comprises health, beauty and cosmetics, plastics, paper, chemical, and pet departments; hard home category, including small appliances, table top, food preparation, stationery, and home maintenance departments; and electronics, toys, and accessories category consisting of electronics, toys, jewelry, apparel, and hosiery departments. As of March 15, 2021, it operated 1,410 stores in 47 states and an e-commerce platform. Big Lots, Inc. was founded in 1967 and is headquartered in Columbus, Ohio."
BIGC,"BigCommerce Holdings, Inc. operates a software-as-a-service platform for small businesses, mid-markets, and large enterprises in the United States. The company's platform provides various services for launching and scaling ecommerce operation, including store design, catalog management, hosting, checkout, order management, reporting, and pre-integrations. As of December 31, 2020, it served approximately 60,000 online stores across industries in approximately 155 countries. BigCommerce Holdings, Inc. was founded in 2009 and is headquartered in Austin, Texas."
BIIB,"Biogen Inc. discovers, develops, manufactures, and delivers therapies for treating neurological and neurodegenerative diseases. The company offers TECFIDERA, VUMERITY, AVONEX, PLEGRIDY, TYSABRI, and FAMPYRA for multiple sclerosis (MS); SPINRAZA for spinal muscular atrophy; and FUMADERM to treat plaque psoriasis. It also provides BENEPALI, an etanercept biosimilar referencing ENBREL; IMRALDI, an adalimumab biosimilar referencing HUMIRA; and FLIXABI, an infliximab biosimilar referencing REMICADE. In addition, the company offers RITUXAN for treating non-Hodgkin's lymphoma, chronic lymphocytic leukemia (CLL), rheumatoid arthritis, two forms of ANCA-associated vasculitis, and pemphigus vulgaris; RITUXAN HYCELA for non-Hodgkin's lymphoma and CLL; GAZYVA to treat CLL and follicular lymphoma; and OCREVUS for treating relapsing MS and primary progressive MS; and other anti-CD20 therapies. Further, it develops BIIB061, BIIB091, and BIIB107 for MS and neuroimmunology; Aducanumab, BAN2401, BIIB092, BIIB076, and BIIB080 to treat Alzheimer's disease and dementia; BIIB067, BIIB078, BIIB105, BIIB100, and BIIB110 to treat neuromuscular disorders; BIIB124, BIIB094, BIIB118, BIIB101, and BIIB122 for treating Parkinson's disease and movement disorders; BIIB111 and BIIB112 to treat ophthalmology related diseases; BIIB125 and BIIB104 for treating neuropsychiatry; Dapirolizumab pegol and BIIB059 to treat immunology related diseases; BIIB093 and TMS-007 to treat acute neurology; BIIB074 and BIIB095 for neuropathic pain; and SB11 and SB15 biosimilars, which are under various stages of development. The company has collaboration and license agreements with Acorda Therapeutics, Inc.; Alkermes Pharma Ireland Limited; Bristol-Myers Squibb Company; Eisai Co., Ltd.; Genentech, Inc.; Neurimmune SubOne AG; Ionis Pharmaceuticals, Inc.; Ginkgo Bioworks; and Capsigen Inc. Biogen Inc. was founded in 1978 and is headquartered in Cambridge, Massachusetts."
BIO,"Bio-Rad Laboratories, Inc. develops, manufactures, and markets life science research and clinical diagnostic products in the United States, Europe, Asia, Canada, and Latin America. The company offers products and systems to separate complex chemical and biological materials, as well as to identify, analyze, and purify components. It operates in two segments, Life Science and Clinical Diagnostics. The Life Science segment develops, manufactures, and markets a range of reagents, apparatus, and laboratory instruments that are used in research techniques, biopharmaceutical production processes, and food testing regimes. It focuses on selected segments of the life sciences market in proteomics, genomics, biopharmaceutical production, cell biology, and food safety. This segment serves universities and medical schools, industrial research organizations, government agencies, pharmaceutical manufacturers, biotechnology researchers, food producers, and food testing laboratories. The Clinical Diagnostics segment designs, manufactures, sells, and supports test systems, informatics systems, test kits, and specialized quality controls for clinical laboratories in the diagnostics market. This segment offers reagents, instruments, and software, which address specific niches within the in vitro diagnostics test market. It sells its products to reference laboratories, hospital laboratories, state newborn screening facilities, physicians' office laboratories, transfusion laboratories, and insurance and forensic testing laboratories. The company offers its products through its direct sales force, as well as through distributors, agents, brokers, and resellers. Bio-Rad Laboratories, Inc. was founded in 1952 and is headquartered in Hercules, California."
BIOC,"Biocept, Inc., an early stage molecular oncology diagnostics company, develops and commercializes proprietary circulating tumor cell and circulating tumor nucleic acid assays utilizing a standard blood sample. Its cancer assays provide information to healthcare providers to identify oncogenic alterations that qualify a subset of cancer patients for targeted therapy at diagnosis, progression, and monitoring in order to identify resistance mechanisms. The company offers assays for solid tumor indications, such as breast cancer, non-small cell lung cancer, gastric cancer, colorectal cancer, prostate cancer, melanoma, pancreaticobiliary cancer, and ovarian cancer. Its Target-Selector molecular technology enables detection of mutations and genome alterations with enhanced sensitivity and specificity, as well as is applicable to nucleic acid from circulating tumor DNA; and Target-Selector CTC and molecular platforms provide biomarker detection and monitoring capabilities. In addition, it offers laboratory services to medical oncologists, neuro-oncologists, surgical oncologists, urologists, pulmonologists, pathologists, and other physicians. Further, it is developing PCR-based assays for detecting the COVID-19 virus. The company sells its cancer diagnostic assays directly to oncologists and other physicians at private and group practices, hospitals, laboratories, and cancer centers in the United States, as well as markets its clinical trial and research services to pharmaceutical and biopharmaceutical companies, and clinical research organizations. It has a partnership with CLEARED4 to develop a system for tracking and managing COVID-19 testing requirements and test results for its customers. Biocept, Inc. was founded in 1997 and is headquartered in San Diego, California."
BIOL,"BIOLASE, Inc., together with its subsidiaries, develops, manufactures, markets, and sells laser systems for dental practitioners and their patients in the United States and internationally. Its dental laser systems allow dentists, periodontists, endodontists, oral surgeons, and other dental specialists to perform a range of minimally invasive dental procedures, such as cosmetic, restorative, and complex surgical applications. The company offers Waterlase all-tissue dental laser systems for cutting soft and hard tissues; diode laser systems for soft tissue, pain therapy, teeth whitening, and cosmetic procedures; and Epic Hygiene laser to manage non-surgical periodontitis and enhance clinical production. It also manufactures and sells consumable products and accessories for its laser systems, as well as markets flexible fibers and hand pieces, and teeth whitening gel kits. The company sells its products through its field sales force and distributor network. The company was formerly known as BIOLASE Technology, Inc. and changed its name to BIOLASE, Inc. in 2012. BIOLASE, Inc. was founded in 1984 and is headquartered in Foothill Ranch, California."
BIVI,"BioVie Inc., a clinical stage biotechnology company, engages in the discovery, development, and commercialization of drugs therapies in the United States. It develops BIV201, which completed Phase 2a clinical trial for the treatment of ascites due to chronic liver cirrhosis. The company was formerly known as NanoAntibiotics, Inc. and changed its name to BioVie Inc. in July 2016. BioVie Inc. was founded in 2013 and is based in Santa Monica, California."
BJ,"BJ's Wholesale Club Holdings, Inc., together with its subsidiaries, operates warehouse clubs on the east coast of the United States. It offers perishable, edible grocery, general merchandise, and non-edible grocery products, as well as gasoline and other ancillary services. The company also sells its products through its website and mobile app. As of March 5, 2021, it operated 221 warehouse clubs and 151 gas stations in 17 states. The company was formerly known as Beacon Holding Inc. and changed its name to BJ's Wholesale Club Holdings, Inc. in February 2018. BJ's Wholesale Club Holdings, Inc. was founded in 1984 and is headquartered in Westborough, Massachusetts."
BJRI,"BJ's Restaurants, Inc. owns and operates casual dining restaurants in the United States. Its restaurants offer pizzas, craft and other beers, appetizers, entrÃ©es, pastas, sandwiches, specialty salads, and desserts. As of June 1, 2021, the company operated 212 casual dining restaurants in 29 states. BJ's Restaurants, Inc. was founded in 1978 and is headquartered in Huntington Beach, California."
BK,"The Bank of New York Mellon Corporation provides a range of financial products and services in the United States and internationally. The company operates through three segments: Investment Services, Investment and Wealth Management, and Other. The Investment Service segment offers custody, trust and depositary, accounting, exchange-traded funds services, middle-office solutions, transfer agency, services for private equity and real estate funds, foreign exchange, securities lending, liquidity/lending services, brokerage and data analytics, clearing, investment, wealth and retirement solutions, technology and enterprise data management, trading, corporate trust, depositary receipts, payments, foreign exchange, liquidity management, receivables processing and payables management, trade finance and processing, collateral management, and tri-party services. The Investment and Wealth Management segment provides diversified investment management strategies and distribution of investment products, investment management, custody, wealth and estate planning, private banking, investment, and information management services. The Other segment engages in the leasing, corporate treasury, derivative and other trading, corporate and bank-owned life insurance, renewable energy investment, and business exit activities. It serves central banks and sovereigns, financial institutions, asset managers, insurance companies, corporations, local authorities and high net-worth individuals, and family offices. The company was founded in 1784 and is headquartered in New York, New York."
BKCC,"BlackRock Capital Investment Corporation, formerly known as BlackRock Kelso Capital Corporation, is a Business Development Company specializing in investments in middle market companies. The fund invests in all industries. It prefers to invest between $10 million and $50 million and can invest more or less in companies with EBITDA or operating cash flow between $10 million and $50 million. The fund invests in the form of senior and junior secured, unsecured, and subordinated debt securities and loans including cash flow, asset backed, and junior lien facilities and equity securities. It's equity investments can be structured in the form of warrants, preferred stock, common equity co-investments, and direct investments in common stock. The fund's debt investments are principally structured to provide for current cash interest and to a lesser extent non-cash interest, particularly with subordinated debt investments, through a pay-in-kind (PIK) feature. It can also make non-control investments."
BKD,"Brookdale Senior Living Inc. owns and operates senior living communities in the United States. It operates through five segments: Independent Living, Assisted Living and Memory Care, Continuing Care Retirement Communities (CCRCs), Health Care Services, and Management Services. The Independent Living segment owns or leases communities comprising independent and assisted living units in a single community that are primarily designed for middle to upper income seniors. The Assisted Living and Memory Care segment owns or leases communities consisting of freestanding multi-story communities and freestanding single-story communities, which offer housing and 24-hour assistance with activities of daily life to mid-acuity and frail elderly residents. This segment also operates memory care communities for residents with Alzheimer's and other dementias. The CCRCs segment owns or leases communities that offer various living arrangements, such as independent and assisted living, memory care, and skilled nursing; and services to accommodate various levels of physical ability and health needs. The Health Care Services segment provides home health, hospice, and outpatient therapy services. The Management Services segment operates communities under the management agreements. As of December 31, 2020, the company owned 350 communities, leased 301 communities, managed 72 communities on behalf of third parties, and 3 communities for which it has equity interest. Brookdale Senior Living Inc. is headquartered in Brentwood, Tennessee."
BKE,"The Buckle, Inc. operates as a retailer of casual apparel, footwear, and accessories for young men and women in the United States. It markets a selection of brand name casual apparel, including denims, other casual bottoms, tops, sportswear, outerwear, accessories, and footwear, as well as private label merchandise primarily comprising BKE, Buckle Black, BKE Boutique, Red by BKE, Daytrip denim, Gimmicks, Gilded Intent, FITZ + EDDI, Willow & Root, Outpost Makers, Departwest, Departwest, Reclaim, Salvage, Nova Industries, and Veece. The company also provides services, such as hemming, gift-wrapping, layaways, guest loyalty program, the Buckle private label credit card, and personalized stylist services, as well as special order system that allows stores to obtain requested merchandise from other company stores or its online order fulfillment center. As of January 30, 2021, it operated 443 retail stores in 42 states under the Buckle and The Buckle names. The Buckle, Inc. also sells its products through its website, buckle.com. The company was formerly known as Mills Clothing, Inc. and changed its name to The Buckle, Inc. in April 1991. The Buckle, Inc. was incorporated in 1948 and is headquartered in Kearney, Nebraska."
BKEP,"Blueknight Energy Partners, L.P. provides integrated terminalling services for companies engaged in the production, distribution, and handling of liquid asphalt in the United States. As of March 4, 2021, it had 53 terminals located in 26 states. Blueknight Energy Partners G.P., L.L.C. operates as a general partner of the company. The company was formerly known as SemGroup Energy Partners, L.P. and changed its name to Blueknight Energy Partners, L.P. in December 2009. Blueknight Energy Partners, L.P. was founded in 2007 and is headquartered in Tulsa, Oklahoma."
BKNG,"Booking Holdings Inc. provides travel and restaurant online reservation and related services worldwide. The company operates Booking.com, which offers online accommodation reservations; Rentalcars.com that provides online rental car reservation services; Priceline, which offer online travel reservation services, including hotel, rental car and airline ticket reservation services, as well as vacation packages and cruises; and Agoda that provides online accommodation reservation services, as well as flight, ground transportation and activities reservation services. It also operates KAYAK, an online price comparison service that allows consumers to search and compare travel itineraries and prices, comprising airline ticket, accommodation reservation, and rental car reservation information; and OpenTable for booking online restaurant reservations. Further, it offers travel-related insurance products, and restaurant management services. The company was formerly known as The Priceline Group Inc. and changed its name to Booking Holdings Inc. in February 2018. Booking Holdings Inc. was founded in 1997 and is headquartered in Norwalk, Connecticut."
BKTI,"BK Technologies Corporation, through its subsidiary, BK Technologies, Inc., designs, manufactures, and markets wireless communications products in the United States and internationally. The company offers two-way land mobile radios (LMR), repeaters, base stations, and related components and subsystems under BK Technologies, BKR, BK Radio, and RELM brand names. Its BK Technologies, BKR, and BK Radio branded products include LMR equipment for professional radio users primarily in government, public safety, and military applications, as well as P-25 digital products; and RELM branded products provide two-way communications for commercial and industrial concerns, such as hotels, construction firms, schools, and transportation services. The company was incorporated in 1997 and is headquartered in West Melbourne, Florida."
BKU,"BankUnited, Inc. operates as the bank holding company for BankUnited, a national banking association that provides a range of banking services in the United States. The company offers deposit products, such as checking, money market deposit, and savings accounts; certificates of deposit; and treasury and cash management services. Its loans portfolio includes commercial loans, including equipment loans, secured and unsecured lines of credit, formula-based loans, owner-occupied commercial real estate term loans and lines of credit, mortgage warehouse lines, letters of credit, small business administration and U.S. department of agriculture product offerings, export-import bank financing products, trade finance, and business acquisition finance credit facilities; commercial real estate loans; residential mortgages; and other consumer loans. The company also offers online, mobile, and telephone banking services. As of December 31, 2020, it operated through a network of 70 branches located in 14 Florida counties; and 4 banking centers in the New York metropolitan area. The company was formerly known as BU Financial Corporation. BankUnited, Inc. was incorporated in 2009 and is headquartered in Miami Lakes, Florida."
BKYI,"BIO-key International, Inc., together with its subsidiaries, develops and markets fingerprint identification biometric technology, enterprise-ready identity access management solutions, and software solutions to commercial, government, and education customers in the United States and internationally. The company offers BIO-key PortalGuard and PortalGuard IDaaS solutions, a customer-controlled and neutral-by-design cloud-based identity platform that allows customers to integrate with any cloud or on-premise SaaS application, as well as windows device authentication through IAM platform. Its solutions enable its customers to secure their workforces and student populations; and make their partner networks more collaborative. In addition, it provides BIO-key VST and WEB-key products; and Civil and Large-Scale ID Infrastructure solutions develops finger-based biometric technology. Further, it offers finger scanners for enterprise and consumer markets under SideSwipe, EcoID, and SidePass brand names. The company was formerly known as SAC Technologies and changed its name to BIO-key International, Inc. in 2002. BIO-key International, Inc. was founded in 1993 and is headquartered in Wall, New Jersey."
